Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/gmp/conversion/_dc_unique_id=1597006646293735234;_dc_ptd=ChEI8PnXzgYQldTY25f29cyFARIfADSn0AwNVbzZ3-7VarjoVfFScQ63PDjOxSOq9PQljg;_dc_time=1775643199;cid=CAQSvgEABaugfWndu2Hz7dey7ZZbWjTQDu40wQd-Fb4WShQPOnDfgSkG8Igf4T7zZEPCGxPFz81WGDlOW1lKtKSm9s-G3oGK2QS9ee7ze5AdmVsshdIFT_wy31PzpVI0hbQDChSGYzBSs14nsHFx-SHPeB4aijrOtUrNhe_1XvrgS37UmBQ1LSace_l9T65z-6QeGWoe62_0ZjPQxZps773TZtE2dc94ThXGxSuhZQ0dcQxGqzcCNwR4VeyGKSSprIn_;eps=AHas8cBodTZ5EkfGV3zh4xBgiT2pdvAdXrCI-xyONX6V1yrwHh7dwBNrbkK0G_xgePn2hhzFmEx8-Dn_CPTJXLNujrtWaZmp-t9TYBtWPZ2Qwi8;src=11366847;type=aud;cat=2610_001;ord=8404250186558;npa=0;auiddc=1698757343.1775164957;pscdl=noapi;frm=0;_tu=KFA;gtm=45fe6461v9181809335z872293692za20gzb72293692zd72293692xea;gcd=13l3l3l3l1l1;dma=0;dc_fmt=3;tag_exp=0~115616986~115938465~115938468~116991817~117884344;epver=2;dc_random=1775643198_JtAEv5ZBI7pG1nLc-cSjdd7UyKE8wl0XLg;~oref=https%3A%2F%2Fwww.rmit.edu.au%2Fstudy-with-us%2Fapplying-to-rmit-650,100,168,121,157,249,1996,72,2014,11.000%,1.03910,0.56,1.37
/SIE/-666,100,29,21,58,95,104,14,124,0.000%,1.04322,5.15,0.47
/ee/irl1/v1/interact?configId=8f3d8bb7-7148-45d0-86d8-87cbb537de71&requestId=5b1b4af5-aa80-46b5-bdd7-68daa80ff50e-664,100,264,246,259,287,585,232,1458,100.000%,1.04080,2.15,2.51
/canonical.html-667,100,81,57,69,89,188,47,2004,3.000%,1.04279,0.30,0.31
/success.txt-669,100,62,56,63,65,229,47,486,2.000%,1.06435,0.22,0.33
/success.txt-670,100,57,56,64,68,71,48,169,1.000%,1.06434,0.22,0.33
/v1/config/46c8c7be486445e1a4c42d1b2392d91e-671,100,156,153,161,166,218,144,255,72.000%,1.06321,0.84,0.48
/v1/ingest-672,100,157,151,159,172,241,142,575,51.000%,1.06317,0.31,0.52
/webdeployments/v1/deployments/9cbcb118-d73b-49d3-949b-e89fc132d9d6/domains.json-674,100,55,35,53,92,430,28,1070,4.000%,1.06452,0.72,0.50
/webdeployments/v1/deployments/9cbcb118-d73b-49d3-949b-e89fc132d9d6/config.json-676,100,17,12,16,18,37,8,538,1.000%,1.06730,1.33,0.50
/messenger/thirdparty-plugins.html-673,100,339,281,407,463,1388,206,1396,100.000%,1.06496,1.14,0.56
/v1/ingest-675,100,154,153,161,162,173,146,241,76.000%,1.06625,0.82,1.98
/messenger/messenger-renderer.html-681,100,280,198,376,381,407,187,1381,100.000%,1.06372,1.21,0.56
/messenger/messenger.html-680,100,280,199,376,381,614,186,876,100.000%,1.06375,1.18,0.55
/api/v2/journey/deployments/9cbcb118-d73b-49d3-949b-e89fc132d9d6/customers/99f3f14e-30c9-496c-930e-f9996543d06f/beacons?data=eyJfdiI6IjIuMTc3Mi4wIiwiX2FjdG11IjoiOTlmM2YxNGUtMzBjOS00OTZjLTkzMGUtZjk5OTY1NDNkMDZmIiwiYXR0Ijp7fSwiY2lkIjoiOTlmM2YxNGUtMzBjOS00OTZjLTkzMGUtZjk5OTY1NDNkMDZmIiwiY3ZjIjoiNCIsImRrIjpudWxsLCJkbCI6Imh0dHBzOi8vd3d3LnJtaXQuZWR1LmF1L3N0dWR5LXdpdGgtdXMvYXBwbHlpbmctdG8tcm1pdCIsImRuIjoiZW4tQVUiLCJkcnUiOiJodHRwczovL3d3dy5ybWl0LmVkdS5hdS9zdHVkeS13aXRoLXVzIiwiZHQiOiJBcHBseWluZyB0byBSTUlUIC0gUk1JVCBVbml2ZXJzaXR5IiwiZmYiOmZhbHNlLCJmaiI6ZmFsc2UsImZwIjp0cnVlLCJmdyI6dHJ1ZSwic2JjIjoxLCJzaCI6MTA4MCwic2lkIjoiOTFlZWExYzAtMzMzMy0xMWYxLWJhYjEtMzE5MThmZmQ1ZDc1Iiwic3BjIjoxLCJzcnUiOiJodHRwczovL3d3dy5ybWl0LmVkdS5hdS9zdHVkeS13aXRoLXVzIiwic3NmIjo1NDc4OCwic3NwIjoyMDM4LCJzdyI6MTkyMCwidCI6InBhZ2V2aWV3IiwidGJjIjo0LCJ0cGMiOjQsInR0cyI6e30sInZoIjo5NDcsInZ3IjoxOTIwfQ%3D%3D&type=pageview-687,100,326,217,563,641,1251,204,1306,100.000%,1.06358,0.89,1.47
/rp.gif-689,100,417,324,534,1309,1350,285,1354,100.000%,1.06300,0.90,0.85
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=ff463859-348f-4cb9-a2a9-722641e5ec13-685,100,278,260,290,319,597,247,811,100.000%,1.06367,1.23,4.51
/config/au/de196456-5f1f-4e16-b48e-eef530d462f3.js-704,100,355,349,359,361,469,336,697,100.000%,1.06256,0.71,0.48
"/1/NRJS-29f08b2561dc6ad578f?a=1431854846&sa=1&v=1.301.0&t=Unnamed%20Transaction&rst=732&ck=0&s=0&ref=https://apps.mypurecloud.com.au/messenger/thirdparty-plugins.html&ptid=69373c7e868702ec&af=err,spa,xhr,stn,ins&be=4&fe=712&dc=236&perf=%7B%22timing%22:%7B%22of%22:1775643200803,%22n%22:0,%22rpe%22:223,%22di%22:241,%22ds%22:241,%22de%22:241,%22dc%22:714,%22l%22:714,%22le%22:718%7D,%22navigation%22:%7B%7D%7D-697",100,478,325,1177,1211,1479,309,2257,100.000%,1.05309,0.71,0.91
/messenger/i18n/en-us.json-711,100,294,199,384,393,667,186,1709,100.000%,1.05564,4.42,0.43
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=1874536902&en=gdlxaxje&end=1-709,100,151,147,157,160,247,142,383,31.000%,1.05791,1.09,2.95
/p-712,100,139,121,130,134,640,112,721,4.000%,1.05839,0.45,1.89
/life-at-rmit-710,100,183,156,173,367,590,152,1182,100.000%,1.05792,39.28,0.55
/canonical.html-719,100,64,57,66,78,180,48,627,2.000%,1.05902,0.31,0.31
