Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/1/events/com.amazon.eel.katal.metrics.core.nexus-96,50,290,277,285,289,878,267,878,10.000%,.49893,0.29,0.57
/1/events/com.amazon.eel.katal.metrics.core.nexus-95,50,277,278,283,287,291,267,291,8.000%,.49894,0.29,0.57
/-98,50,741,901,949,954,978,388,978,100.000%,.49561,0.86,0.64
/b-99,50,179,179,186,191,197,169,197,0.000%,.49917,0.21,0.39
/?operationName=PopularCelebrities&variables=%7B%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%223fb23cb4e9835758fa9c61b4bafc833560dfd493b8263f5c44adbb56f22d4283%22%2C%22version%22%3A1%7D%7D-108,50,10,10,12,12,14,8,14,0.000%,.50007,0.34,0.43
/1/events/com.amazon.csm.customsg.prod-104,50,306,278,288,290,1694,265,1694,18.000%,.49869,0.29,0.48
/-109,50,58,13,320,331,357,10,357,14.000%,.50011,2.14,0.53
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26sc0%3DLoadAds%26bb0%3D1%26be0%3D144%26pc0%3D144%26ld0%3D144%26t0%3D1775643102966%26sc1%3DLoadStyledComponents%26bb1%3D144%26be1%3D217%26pc1%3D217%26ld1%3D217%26t1%3D1775643103039%26sc2%3DLoadFonts%26bb2%3D218%26be2%3D407%26pc2%3D407%26ld2%3D407%26t2%3D1775643103229%26sc3%3DLoadIcons%26bb3%3D219%26be3%3D219%26pc3%3D219%26ld3%3D219%26t3%3D1775643103041%26sc4%3DimdbHeader%26bb4%3D292%26be4%3D293%26pc4%3D293%26ld4%3D293%26t4%3D1775643103115%26sc5%3DStaticFeature_ContentSymphony_hero-video-1%26bb5%3D293%26be5%3D294%26pc5%3D294%26ld5%3D294%26t5%3D1775643103116%26sc6%3DStaticFeature_ContentSymphony_hero-video-2%26bb6%3D294%26be6%3D294%26pc6%3D294%26ld6%3D294%26t6%3D1775643103116%26sc7%3DStaticFeature_ContentSymphony_hero-video-3%26bb7%3D294%26be7%3D294%26pc7%3D294%26ld7%3D294%26t7%3D1775643103116%26sc8%3DStaticFeature_ContentSymphony_hero-video-4%26bb8%3D294%26be8%3D294%26pc8%3D294%26ld8%3D294%26t8%3D1775643103116%26sc9%3DStaticFeature_ContentSymphony_hero-video-5%26bb9%3D294%26be9%3D294%26pc9%3D294%26ld9%3D294%26t9%3D1775643103116%26sc10%3DStaticFeature_ContentSymphony_hero-video-6%26bb10%3D294%26be10%3D294%26pc10%3D294%26ld10%3D294%26t10%3D1775643103116%26sc11%3DStaticFeature_ContentSymphony_hero-video-7%26bb11%3D294%26be11%3D295%26pc11%3D295%26ld11%3D295%26t11%3D1775643103117%26sc12%3DStaticFeature_ContentSymphony_hero-video-8%26bb12%3D295%26be12%3D296%26pc12%3D296%26ld12%3D296%26t12%3D1775643103118%26sc13%3DStaticFeature_ContentSymphony_hero-video-9%26bb13%3D296%26be13%3D296%26pc13%3D296%26ld13%3D296%26t13%3D1775643103118%26sc14%3DStaticFeature_ContentSymphony_hero-video-10%26bb14%3D296%26be14%3D296%26pc14%3D296%26ld14%3D296%26t14%3D1775643103118%26sc15%3DStaticFeature_ContentSymphony_featured-today-1%26bb15%3D296%26be15%3D296%26pc15%3D297%26ld15%3D297%26t15%3D1775643103119%26sc16%3DStaticFeature_ContentSymphony_featured-today-2%26bb16%3D297%26be16%3D297%26pc16%3D297%26ld16%3D297%26t16%3D1775643103119%26sc17%3DStaticFeature_ContentSymphony_featured-today-3%26bb17%3D297%26be17%3D297%26pc17%3D297%26ld17%3D297%26t17%3D1775643103119%26sc18%3DStaticFeature_ContentSymphony_featured-today-4%26bb18%3D297%26be18%3D297%26pc18%3D297%26ld18%3D297%26t18%3D1775643103119%26sc19%3DStaticFeature_ContentSymphony_featured-today-5%26bb19%3D297%26be19%3D298%26pc19%3D298%26ld19%3D298%26t19%3D1775643103120%26sc20%3DStaticFeature_ContentSymphony_featured-today-6%26bb20%3D298%26be20%3D298%26pc20%3D298%26ld20%3D298%26t20%3D1775643103120%26sc21%3DStaticFeature_ContentSymphony_featured-today-7%26bb21%3D298%26be21%3D298%26pc21%3D298%26ld21%3D298%26t21%3D1775643103120%26sc22%3DLoadFooterJS%26bb22%3D298%26be22%3D299%26pc22%3D299%26ld22%3D299%26t22%3D1775643103121%26sc23%3DcsmCELLSframework%26bb23%3D305%26pc23%3D305%26ld23%3D305%26t23%3D1775643103127%26sc24%3DcsmCELLSpdm%26bb24%3D305%26pc24%3D377%26ld24%3D377%26t24%3D1775643103199%26sc25%3DcsmCELLSvpm%26bb25%3D377%26pc25%3D377%26ld25%3D377%26t25%3D1775643103199%26sc26%3DcsmCELLSfem%26bb26%3D377%26pc26%3D377%26ld26%3D377%26t26%3D1775643103199%26sc27%3DadSlotMount%26bb27%3D1221%26pc27%3D1221%26ld27%3D1221%26t27%3D1775643104043%26sc28%3DMountReactJS%26pc28%3D1222%26ld28%3D1222%26t28%3D1775643104044%26sc29%3DLoadSis%26bb29%3D1287%26be29%3D1295%26pc29%3D2704%26ld29%3D2704%26t29%3D1775643105526%26ctb%3D1:2708-101,50,294,290,317,322,322,276,322,64.000%,.50025,0.11,1.90
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26sw%3D1920%26sh%3D1080%26vw%3D1920%26vh%3D947%26m%3D1%26sc%3DFVC354EWB2MCGRTPZ1HH%26ue%3D1%26bb%3D220%26be%3D304%26fcp%3D389%26fn%3D1222%26pc%3D2705%26tc%3D-1830%26na_%3D-1830%26ul_%3D-25%26_ul%3D-22%26rd_%3D-1775643102822%26_rd%3D-1775643102822%26fe_%3D-1828%26lk_%3D-1754%26_lk%3D-1754%26co_%3D-1754%26_co%3D-1754%26sc_%3D-1754%26rq_%3D-1754%26rs_%3D-1753%26_rs%3D-1753%26dl_%3D-25%26di_%3D391%26de_%3D1236%26_de%3D1237%26_dc%3D2703%26ld_%3D2703%26_ld%3D-1775643102822%26ntd%3D-1%26ty%3D0%26rc%3D0%26hob%3D0%26hoe%3D1%26ld%3D2705%26t%3D1775643105527%26ctb%3D1%26rt%3D__ld%3A67-26-5-25-7-9-0%26csmtags%3Dfls-na-amazon-com%7Cadblk_no%7Ccsm-feature-touch-enabled%3Afalse%26viz%3Dvisible%3A1%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26ui%3D2%26lob%3D6:2708-100,50,292,289,318,318,324,274,324,58.000%,.50023,0.11,0.69
/1/events/com.amazon.csm.csa.prod-102,50,564,551,564,566,1235,531,1235,100.000%,.49559,0.29,34.66
